original_image_path,original_label_path,output_image_path,output_label_path,split,group_id,image_hash,annotation_count,class_ids,validation_warnings,included_status
valid/images/1722523018_png.rf.40d1bec1b82f9dfeaa0c3b4819b1822d.jpg,valid/labels/1722523018_png.rf.40d1bec1b82f9dfeaa0c3b4819b1822d.txt,d2/train/images/1722523018_png.rf.40d1bec1b82f9dfeaa0c3b4819b1822d.jpg,d2/train/labels/1722523018_png.rf.40d1bec1b82f9dfeaa0c3b4819b1822d.txt,train,valid/images/1722523018_png.rf.40d1bec1b82f9dfeaa0c3b4819b1822d.jpg,409a24d6fb502563fec4d1abe6d9cad2a7a16d2dcae17f27bee32c6a62c77974,58,0,,included
valid/images/1722523395_png.rf.025d9cfad924658a15291aa612aba0f4.jpg,valid/labels/1722523395_png.rf.025d9cfad924658a15291aa612aba0f4.txt,d2/train/images/1722523395_png.rf.025d9cfad924658a15291aa612aba0f4.jpg,d2/train/labels/1722523395_png.rf.025d9cfad924658a15291aa612aba0f4.txt,train,valid/images/1722523395_png.rf.025d9cfad924658a15291aa612aba0f4.jpg,ecbbab0e2c20e8fd18cc2710235c4954b4fab45a7dee812ce5222b64bf69ce43,56,0,,included
valid/images/1722523033_png.rf.6caafafc9e7975856c99cecea6f9df07.jpg,valid/labels/1722523033_png.rf.6caafafc9e7975856c99cecea6f9df07.txt,d2/train/images/1722523033_png.rf.6caafafc9e7975856c99cecea6f9df07.jpg,d2/train/labels/1722523033_png.rf.6caafafc9e7975856c99cecea6f9df07.txt,train,valid/images/1722523033_png.rf.6caafafc9e7975856c99cecea6f9df07.jpg,eb1c367caa2389e8d1480fa769754cd08fd2aa31979f22a9375b0f31c8ca1840,63,0,,included
valid/images/1722524240_png.rf.cdd3121215f97847d98ec9dcba967747.jpg,valid/labels/1722524240_png.rf.cdd3121215f97847d98ec9dcba967747.txt,d2/train/images/1722524240_png.rf.cdd3121215f97847d98ec9dcba967747.jpg,d2/train/labels/1722524240_png.rf.cdd3121215f97847d98ec9dcba967747.txt,train,valid/images/1722524240_png.rf.cdd3121215f97847d98ec9dcba967747.jpg,6d8d5c1d132f93eb76755bf719f3959a9254e5a5f3ca588d2bdf08279d5ff1ec,41,0,,included
valid/images/1722523671_png.rf.661c00abdb60502c5771e1377c220e2f.jpg,valid/labels/1722523671_png.rf.661c00abdb60502c5771e1377c220e2f.txt,d2/train/images/1722523671_png.rf.661c00abdb60502c5771e1377c220e2f.jpg,d2/train/labels/1722523671_png.rf.661c00abdb60502c5771e1377c220e2f.txt,train,valid/images/1722523671_png.rf.661c00abdb60502c5771e1377c220e2f.jpg,e6c7b77a1e6bd52458af825e105666df4cb2a60c6554aa148490bbf2c8422fa3,72,0,,included
valid/images/1722523321_png.rf.57c504e90e786f650ee585a9ce81044b.jpg,valid/labels/1722523321_png.rf.57c504e90e786f650ee585a9ce81044b.txt,d2/train/images/1722523321_png.rf.57c504e90e786f650ee585a9ce81044b.jpg,d2/train/labels/1722523321_png.rf.57c504e90e786f650ee585a9ce81044b.txt,train,valid/images/1722523321_png.rf.57c504e90e786f650ee585a9ce81044b.jpg,862cabc6798120111fc22de10e827282cb460d023c2c5f81cfde0b414a650fa8,64,0,,included
valid/images/1722524256_png.rf.ee5ffb8b54300344eb755f6489117f10.jpg,valid/labels/1722524256_png.rf.ee5ffb8b54300344eb755f6489117f10.txt,d2/train/images/1722524256_png.rf.ee5ffb8b54300344eb755f6489117f10.jpg,d2/train/labels/1722524256_png.rf.ee5ffb8b54300344eb755f6489117f10.txt,train,valid/images/1722524256_png.rf.ee5ffb8b54300344eb755f6489117f10.jpg,07a8339fe82a1e392702ed0244778927c9f060c8e95c58031155be11743456f8,36,0,,included
valid/images/1722523415_png.rf.29e1698e5b0bd56cd9fbb94755aa1428.jpg,valid/labels/1722523415_png.rf.29e1698e5b0bd56cd9fbb94755aa1428.txt,d2/valid/images/1722523415_png.rf.29e1698e5b0bd56cd9fbb94755aa1428.jpg,d2/valid/labels/1722523415_png.rf.29e1698e5b0bd56cd9fbb94755aa1428.txt,valid,valid/images/1722523415_png.rf.29e1698e5b0bd56cd9fbb94755aa1428.jpg,15495726e510d45996ac9bd6384d3586c0c525c6b4c226702212671cb4defcd2,68,0,,included
test/images/1722524085_png.rf.eb5adc749a4874646ee05ca262a45957.jpg,test/labels/1722524085_png.rf.eb5adc749a4874646ee05ca262a45957.txt,d2/train/images/1722524085_png.rf.eb5adc749a4874646ee05ca262a45957.jpg,d2/train/labels/1722524085_png.rf.eb5adc749a4874646ee05ca262a45957.txt,train,test/images/1722524085_png.rf.eb5adc749a4874646ee05ca262a45957.jpg,e69a8f9505ee3fbaf045f524aa7e586d88647da9d90c324cc6a74bbe94535b3e,23,0,,included
test/images/1722523385_png.rf.f71c3997598f4f14ad661353e290668d.jpg,test/labels/1722523385_png.rf.f71c3997598f4f14ad661353e290668d.txt,d2/valid/images/1722523385_png.rf.f71c3997598f4f14ad661353e290668d.jpg,d2/valid/labels/1722523385_png.rf.f71c3997598f4f14ad661353e290668d.txt,valid,test/images/1722523385_png.rf.f71c3997598f4f14ad661353e290668d.jpg,aee52479514b17a73a8b09b44762e5e3aeea98fc055d56517e339a9d1f193737,67,0,,included
